loglik_mean,num_edge,n_p,n,p,model
13.134335639721781,520,50_50,50,50,DC
13.134055396623499,532,50_50,50,50,DC
13.125722003710228,545,50_50,50,50,DC
13.104354953184087,557,50_50,50,50,DC
13.113649549783045,569,50_50,50,50,DC
13.10578168560602,582,50_50,50,50,DC
13.090549941260296,594,50_50,50,50,DC
13.095808453537591,606,50_50,50,50,DC
13.114299526696673,619,50_50,50,50,DC
13.110431425875904,631,50_50,50,50,DC
13.126844801638855,643,50_50,50,50,DC
13.126640165333992,656,50_50,50,50,DC
13.129544668609267,668,50_50,50,50,DC
13.121304105009932,681,50_50,50,50,DC
13.14108888026536,693,50_50,50,50,DC
13.133779611830839,705,50_50,50,50,DC
13.131940267588508,718,50_50,50,50,DC
13.134336284274259,730,50_50,50,50,DC
13.127461141680872,742,50_50,50,50,DC
13.13111707421741,755,50_50,50,50,DC
13.124227617447929,767,50_50,50,50,DC
13.117541484837584,779,50_50,50,50,DC
13.102225911682554,792,50_50,50,50,DC
13.107967441978769,804,50_50,50,50,DC
13.104330054332902,817,50_50,50,50,DC
13.119554240426153,829,50_50,50,50,DC
13.11918250810272,841,50_50,50,50,DC
13.116045170045272,854,50_50,50,50,DC
13.12528089456892,866,50_50,50,50,DC
13.131298701978514,878,50_50,50,50,DC
13.128875305479932,891,50_50,50,50,DC
13.134575936246822,903,50_50,50,50,DC
13.124094598835518,915,50_50,50,50,DC
13.118780189034883,928,50_50,50,50,DC
13.124197772475757,940,50_50,50,50,DC
13.124847704571499,953,50_50,50,50,DC
13.124669765071257,965,50_50,50,50,DC
13.11455540836356,976.8,50_50,50,50,DC
13.109871184502532,989.8,50_50,50,50,DC
13.10907380707329,1001.8,50_50,50,50,DC
13.105441271546628,1013.6,50_50,50,50,DC
13.100095484126294,1026.4,50_50,50,50,DC
13.098994924587938,1038.2,50_50,50,50,DC
13.09734244116234,1050.4,50_50,50,50,DC
13.099082921490162,1063,50_50,50,50,DC
13.093707751833048,1074.8,50_50,50,50,DC
13.098256469272144,1087.6,50_50,50,50,DC
13.096005960885162,1097.8,50_50,50,50,DC
13.093878581387285,1109.2,50_50,50,50,DC
13.091739008034658,1120.4,50_50,50,50,DC
13.093059390645244,1130.8,50_50,50,50,DC
13.093537106883199,1141.2,50_50,50,50,DC
13.09180410111263,1152.4,50_50,50,50,DC
13.089522840197757,1162,50_50,50,50,DC
13.09085957092487,1170.2,50_50,50,50,DC
13.093281696071651,1180.2,50_50,50,50,DC
13.092217315305486,1187,50_50,50,50,DC
13.092221346953403,1193.2,50_50,50,50,DC
14.619427493055461,1.2,100_50,100,50,DC
14.97161962622969,13,100_50,100,50,DC
14.995881776063296,25,100_50,100,50,DC
14.948184414152333,38,100_50,100,50,DC
14.910730690003458,50,100_50,100,50,DC
14.942708696634813,62,100_50,100,50,DC
14.977683704621887,75,100_50,100,50,DC
14.915588060706881,87,100_50,100,50,DC
14.88131901692333,99,100_50,100,50,DC
14.805402021112565,112,100_50,100,50,DC
14.811957765519491,124,100_50,100,50,DC
14.766494342559465,137,100_50,100,50,DC
14.71707057976754,149,100_50,100,50,DC
14.700412788651992,161,100_50,100,50,DC
14.655177023221453,174,100_50,100,50,DC
14.657383698174852,186,100_50,100,50,DC
14.630301672598502,198,100_50,100,50,DC
14.573169438008765,211,100_50,100,50,DC
14.596697569388194,223,100_50,100,50,DC
14.557657663385555,235,100_50,100,50,DC
14.531823662394753,248,100_50,100,50,DC
14.539500025043345,260,100_50,100,50,DC
14.538892024911574,273,100_50,100,50,DC
14.531054399824901,285,100_50,100,50,DC
14.538678562459225,297,100_50,100,50,DC
14.555707313538338,310,100_50,100,50,DC
14.515460975283485,322,100_50,100,50,DC
14.511492102452921,334,100_50,100,50,DC
14.511467481145868,347,100_50,100,50,DC
14.495745585808761,359,100_50,100,50,DC
14.477948994055213,371,100_50,100,50,DC
