p,n,DC,glasso,SCAD,adapt,n_p
71,50,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
71,50,0.011999999987892807,0.003000000026077032,0.003000000026077032,9.999999310821295e-4,50_71
71,50,0.011000000056810677,0.0029999999096617103,0.0020000000949949026,9.999999310821295e-4,50_71
71,50,0.013000000035390258,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
71,50,0.010999999940395355,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
71,50,0.011999999987892807,0.003000000026077032,0.003000000026077032,9.999999310821295e-4,50_71
71,50,0.011999999987892807,0.003000000026077032,0.001999999978579581,0.0010000000474974513,50_71
100,50,0.03300000005401671,0.006999999983236194,0.005000000004656613,0.001999999978579581,50_100
100,50,0.027000000001862645,0.008000000030733645,0.005000000004656613,0.001999999978579581,50_100
100,50,0.026000000070780516,0.008000000030733645,0.005000000004656613,0.001999999978579581,50_100
100,50,0.043999999994412065,0.008000000030733645,0.005999999935738742,0.003000000026077032,50_100
100,50,0.025999999954365194,0.006000000052154064,0.003999999957159162,0.001999999978579581,50_100
100,50,0.027000000001862645,0.008000000030733645,0.006000000052154064,0.001999999978579581,50_100
100,50,0.02099999994970858,0.006000000052154064,0.003999999957159162,0.0020000000949949026,50_100
100,50,0.021999999997206032,0.006000000052154064,0.003999999957159162,0.001999999978579581,50_100
100,50,0.027000000001862645,0.006999999983236194,0.005000000004656613,0.001999999978579581,50_100
100,50,0.024999999906867743,0.005000000004656613,0.005000000004656613,0.001999999978579581,50_100
50,100,0.005999999935738742,0.0010000000474974513,9.999999310821295e-4,0.0010000000474974513,100_50
50,100,0.013000000035390258,0.0010000000474974513,9.999999310821295e-4,0.0010000000474974513,100_50
50,100,0.005999999935738742,0.0010000000474974513,0.0010000000474974513,9.999999310821295e-4,100_50
50,100,0.005000000004656613,0.001999999978579581,0.0010000000474974513,0,100_50
50,100,0.005000000004656613,0.0010000000474974513,9.999999310821295e-4,0,100_50
50,100,0.006000000052154064,9.999999310821295e-4,0.001999999978579581,0,100_50
50,100,0.006000000052154064,0.0010000000474974513,9.999999310821295e-4,0.0010000000474974513,100_50
50,100,0.006000000052154064,9.999999310821295e-4,0.0010000000474974513,9.999999310821295e-4,100_50
50,100,0.006000000052154064,9.999999310821295e-4,0.0010000000474974513,0,100_50
50,100,0.006000000052154064,0.0010000000474974513,9.999999310821295e-4,0.0010000000474974513,100_50
