n_p,K,num_estimated_mean,num_estimated_std
400_200,10149,10149,0
400_200,10348,10348,0
400_200,10547,10547,0
400_200,10746,10746,0
400_200,10945,10945,0
400_200,11144,11144,0
400_200,11343,11343,0
400_200,11542,11542,0
400_200,11741,11741,0
400_200,11940,11940,0
400_200,12139,12139,0
400_200,12338,12338,0
400_200,12537,12537,0
400_200,12736,12736,0
400_200,12935,12935,0
400_200,13134,13134,0
400_200,13333,13333,0
400_200,13532,13532,0
400_200,13731,13731,0
400_200,13930,13930,0
400_200,14129,14129,0
400_200,14328,14328,0
400_200,14527,14527,0
400_200,14726,14726,0
400_200,14925,14925,0
400_200,15124,15124,0
400_200,15323,15323,0
400_200,15522,15522,0
400_200,15721,15721,0
400_200,15920,15920,0
400_200,16119,16119,0
400_200,16318,16318,0
400_200,16517,16517,0
400_200,16716,16716,0
400_200,16915,16915,0
400_200,17114,17114,0
400_200,17313,17313,0
400_200,17512,17512,0
400_200,17711,17711,0
400_200,17910,17910,0
400_200,18109,18109,0
400_200,18308,18307.2,0.48989794855663554
400_200,18507,18505.6,0.9797958971132713
400_200,18706,18703,2.1447610589527213
400_200,18905,18899,4.393176527297759
400_200,19104,19093,7.395944834840238
400_200,19303,19282.2,12.575372757894694
400_200,19502,19467.4,18.29098138427788
400_200,19701,19636.8,26.53375209049787
400_200,19900,19780.8,32.89741631192334
50_100,101,101,0
50_100,149,149,0
50_100,198,198,0
50_100,247,247,0
50_100,296,296,0
50_100,345,345,0
50_100,394,394,0
50_100,443,443,0
50_100,492,492,0
50_100,541,541,0
50_100,590,590,0
50_100,639,639,0
50_100,688,688,0
50_100,737,737,0
50_100,786,786,0
50_100,835,835,0
50_100,884,884,0
50_100,933,933,0
50_100,982,982,0
50_100,1031,1031,0
50_100,1080,1080,0
50_100,1129,1129,0
50_100,1178,1178,0
50_100,1227,1227,0
50_100,1276,1276,0
50_100,1325,1325,0
50_100,1374,1374,0
50_100,1423,1423,0
50_100,1472,1472,0
50_100,1521,1521,0
50_100,1570,1570,0
50_100,1619,1619,0
50_100,1668,1668,0
50_100,1717,1717,0
50_100,1766,1766,0
50_100,1815,1815,0
50_100,1864,1864,0
50_100,1913,1913,0
50_100,1962,1962,0
50_100,2011,2011,0
50_100,2060,2060,0
50_100,2109,2109,0
50_100,2158,2158,0
50_100,2207,2207,0
50_100,2256,2256,0
50_100,2305,2305,0
50_100,2354,2354,0
50_100,2403,2403,0
50_100,2452,2452,0
50_100,2501,2501,0
50_100,2549,2549,0
50_100,2598,2598,0
50_100,2647,2647,0
50_100,2696,2696,0
50_100,2745,2745,0
50_100,2794,2794,0
50_100,2843,2843,0
50_100,2892,2892,0
50_100,2941,2941,0
50_100,2990,2990,0
50_100,3039,3039,0
50_100,3088,3088,0
50_100,3137,3137,0
