accuracy,recall,precision,F_measure,num_edge,n_p,n,p,model
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9917171717171717,0.03333333333333333,0.07692307692307693,0.046511627906976744,13,50_100,50,100,glasso
0.9921212121212121,0.06666666666666667,0.15384615384615385,0.09302325581395349,13,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9919191919191919,0.1,0.1875,0.13043478260869568,16,50_100,50,100,glasso
0.9931313131313131,0,0,NA,4,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,50_100,50,100,glasso
0.9309090909090909,0.3333333333333333,0.030120481927710843,0.05524861878453039,332,100_100,100,100,glasso
0.9939393939393939,0,NA,NA,0,100_100,100,100,glasso
0.9234343434343434,0.4,0.032171581769437,0.05955334987593052,373,100_100,100,100,glasso
0.9937373737373737,0,0,NA,1,100_100,100,100,glasso
0.9408080808080808,0.36666666666666664,0.03859649122807018,0.06984126984126984,285,100_100,100,100,glasso
0.9937373737373737,0.06666666666666667,0.4,0.1142857142857143,5,100_100,100,100,glasso
0.9571717171717171,0.43333333333333335,0.0625,0.1092436974789916,208,100_100,100,100,glasso
0.9935353535353535,0.03333333333333333,0.25,0.058823529411764705,4,100_100,100,100,glasso
0.9101010101010101,0.3,0.020785219399538105,0.038876889848812095,433,100_100,100,100,glasso
0.9935353535353535,0.03333333333333333,0.25,0.058823529411764705,4,100_100,100,100,glasso
0.9915151515151515,0.06666666666666667,0.125,0.08695652173913045,16,100_100,100,100,glasso
0.9337373737373738,0.43333333333333335,0.040123456790123455,0.07344632768361581,324,100_100,100,100,glasso
0.9347474747474748,0.4666666666666667,0.04361370716510903,0.07977207977207977,321,100_100,100,100,glasso
0.9024242424242425,0.4666666666666667,0.029106029106029108,0.0547945205479452,481,100_100,100,100,glasso
0.9939393939393939,0,NA,NA,0,100_100,100,100,glasso
0.9509090909090909,0.3333333333333333,0.04291845493562232,0.07604562737642587,233,100_100,100,100,glasso
0.927070707070707,0.5,0.04155124653739612,0.07672634271099743,361,100_100,100,100,glasso
0.8234343434343434,0.6666666666666666,0.02262443438914027,0.0437636761487965,884,100_100,100,100,glasso
0.9585858585858585,0.3,0.046632124352331605,0.08071748878923767,193,100_100,100,100,glasso
0.9939393939393939,0.03333333333333333,0.5,0.0625,2,100_100,100,100,glasso
0.9939393939393939,0.03333333333333333,0.5,0.0625,2,100_100,100,100,glasso
0.9935353535353535,0.03333333333333333,0.25,0.058823529411764705,4,100_100,100,100,glasso
0.9937373737373737,0.06666666666666667,0.4,0.1142857142857143,5,100_100,100,100,glasso
0.9117171717171717,0.43333333333333335,0.03002309468822171,0.056155507559395246,433,100_100,100,100,glasso
0.9583838383838383,0.36666666666666664,0.05555555555555555,0.09649122807017545,198,100_100,100,100,glasso
0.9274747474747475,0.5666666666666667,0.046831955922865015,0.08651399491094147,363,100_100,100,100,glasso
0.9939393939393939,0.1,0.5,0.16666666666666669,6,100_100,100,100,glasso
0.9941414141414141,0.03333333333333333,1,0.06451612903225806,1,100_100,100,100,glasso
0.8737373737373737,0.5666666666666667,0.02702702702702703,0.05159332321699545,629,100_100,100,100,glasso
0.9937373737373737,0.03333333333333333,0.3333333333333333,0.0606060606060606,3,100_100,100,100,glasso
0.7977777777777778,0.5,0.014985014985014986,0.029097963142580018,1001,200_100,200,100,glasso
0.5670707070707071,0.6666666666666666,0.009289363678588018,0.01832340815391663,2153,200_100,200,100,glasso
0.7062626262626263,0.7333333333333333,0.014986376021798364,0.029372496662216287,1468,200_100,200,100,glasso
0.4763636363636364,0.9,0.010321100917431193,0.020408163265306124,2616,200_100,200,100,glasso
0.7713131313131313,0.6666666666666666,0.017513134851138354,0.034129692832764506,1142,200_100,200,100,glasso
0.45494949494949494,0.8666666666666667,0.009558823529411765,0.01890909090909091,2720,200_100,200,100,glasso
0.7028282828282828,0.7666666666666667,0.01546738399462004,0.030323005932762034,1487,200_100,200,100,glasso
0.6494949494949495,0.8,0.013690815744438107,0.026920919798093104,1753,200_100,200,100,glasso
0.7424242424242424,0.6666666666666666,0.01556420233463035,0.03041825095057034,1285,200_100,200,100,glasso
0.7177777777777777,0.7666666666666667,0.01627742392073602,0.03187803187803187,1413,200_100,200,100,glasso
0.7696969696969697,0.7,0.018229166666666668,0.03553299492385787,1152,200_100,200,100,glasso
0.7472727272727273,0.6,0.014319809069212411,0.027972027972027975,1257,200_100,200,100,glasso
0.5923232323232324,0.6666666666666666,0.009861932938856016,0.01943634596695821,2028,200_100,200,100,glasso
0.7678787878787878,0.7333333333333333,0.018916595012897677,0.036881810561609385,1163,200_100,200,100,glasso
0.5236363636363637,0.8666666666666667,0.010924369747899159,0.021576763485477178,2380,200_100,200,100,glasso
0.7022222222222222,0.8,0.0160857908847185,0.03153745072273325,1492,200_100,200,100,glasso
0.7428282828282828,0.6333333333333333,0.01483216237314598,0.028985507246376812,1281,200_100,200,100,glasso
0.6537373737373737,0.9,0.015535097813578827,0.030542986425339366,1738,200_100,200,100,glasso
0.7,0.5666666666666667,0.011417058428475487,0.02238314680710994,1489,200_100,200,100,glasso
0.47555555555555556,0.8,0.009181331293037491,0.018154311649016642,2614,200_100,200,100,glasso
0.6818181818181818,0.6333333333333333,0.012002526847757423,0.023558586484810913,1583,200_100,200,100,glasso
0.8034343434343434,0.5,0.015416238437821172,0.029910269192422734,973,200_100,200,100,glasso
0.7074747474747475,0.8333333333333334,0.0170299727520436,0.03337783711615487,1468,200_100,200,100,glasso
0.704040404040404,0.7333333333333333,0.014874915483434753,0.029158383035122595,1479,200_100,200,100,glasso
0.7034343434343434,0.6666666666666666,0.013531799729364006,0.02652519893899204,1478,200_100,200,100,glasso
0.6226262626262626,0.7666666666666667,0.012208067940552018,0.024033437826541274,1884,200_100,200,100,glasso
0.6018181818181818,0.7333333333333333,0.011083123425692695,0.021836228287841188,1985,200_100,200,100,glasso
0.5244444444444445,0.8333333333333334,0.010530749789385004,0.020798668885191347,2374,200_100,200,100,glasso
0.7036363636363636,0.7333333333333333,0.014854827819041188,0.029119788219722036,1481,200_100,200,100,glasso
0.7509090909090909,0.5666666666666667,0.0137429264349232,0.026835043409629042,1237,200_100,200,100,glasso
0.9970351758793969,0.06666666666666667,0.06060606060606061,0.0634920634920635,33,100_200,100,200,glasso
0.9971356783919598,0.13333333333333333,0.11428571428571428,0.12307692307692307,35,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9976884422110552,0.06666666666666667,0.1,0.08,20,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9979899497487437,0.06666666666666667,0.14285714285714285,0.09090909090909091,14,100_200,100,200,glasso
0.9970854271356784,0.16666666666666666,0.13157894736842105,0.14705882352941177,38,100_200,100,200,glasso
0.9941708542713568,0.23333333333333334,0.07,0.1076923076923077,100,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9965829145728643,0.2,0.12,0.15,50,100_200,100,200,glasso
0.9960804020100502,0.1,0.05555555555555555,0.07142857142857142,54,100_200,100,200,glasso
0.9970351758793969,0.06666666666666667,0.06060606060606061,0.0634920634920635,33,100_200,100,200,glasso
0.9961306532663317,0.16666666666666666,0.08771929824561403,0.11494252873563217,57,100_200,100,200,glasso
0.9984924623115577,0,NA,NA,0,100_200,100,200,glasso
0.9984924623115577,0,NA,NA,0,100_200,100,200,glasso
0.9960804020100502,0.16666666666666666,0.08620689655172414,0.11363636363636362,58,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9960804020100502,0.1,0.05555555555555555,0.07142857142857142,54,100_200,100,200,glasso
0.9973869346733668,0.1,0.10714285714285714,0.10344827586206898,28,100_200,100,200,glasso
0.9968844221105527,0.03333333333333333,0.029411764705882353,0.03125,34,100_200,100,200,glasso
0.9984924623115577,0,NA,NA,0,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9984924623115577,0,NA,NA,0,100_200,100,200,glasso
0.9984924623115577,0,NA,NA,0,100_200,100,200,glasso
0.9963819095477386,0.13333333333333333,0.08,0.1,50,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,100_200,100,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.8986934673366834,0.4666666666666667,0.006951340615690168,0.013698630136986299,2014,200_200,200,200,glasso
0.9984924623115577,0,NA,NA,0,200_200,200,200,glasso
0.8226633165829146,0.7,0.005930528099406947,0.011761411369364323,3541,200_200,200,200,glasso
0.8809045226130653,0.5,0.006329113924050633,0.012499999999999999,2370,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9636683417085428,0.4,0.016736401673640166,0.0321285140562249,717,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9984924623115577,0,NA,NA,0,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9984924623115577,0,NA,NA,0,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.817286432160804,0.6666666666666666,0.005485463521667581,0.01088139281828074,3646,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.8641708542713568,0.5333333333333333,0.005914972273567467,0.011700182815356489,2705,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9984924623115577,0,NA,NA,0,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.8179899497487437,0.6666666666666666,0.005506607929515419,0.010922992900054615,3632,200_200,200,200,glasso
0.8642211055276382,0.5333333333333333,0.005917159763313609,0.011704462326261886,2704,200_200,200,200,glasso
0.7433165829145728,0.7,0.0041015625,0.008155339805825243,5120,200_200,200,200,glasso
0.8995477386934674,0.6,0.008977556109725686,0.01769041769041769,2005,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.9985427135678392,0.03333333333333333,1,0.06451612903225806,1,200_200,200,200,glasso
0.8636683417085427,0.6,0.0066200809121000365,0.013095671153146598,2719,400_200,400,200,glasso
0.8202010050251256,0.7666666666666667,0.006399554813578186,0.012693156732891831,3594,400_200,400,200,glasso
0.9130150753768844,0.5333333333333333,0.009232544720138488,0.018150879183210435,1733,400_200,400,200,glasso
0.9730653266331658,0.3333333333333333,0.019011406844106463,0.03597122302158273,526,400_200,400,200,glasso
0.9128643216080402,0.6333333333333333,0.010907003444316877,0.02144469525959368,1742,400_200,400,200,glasso
0.901859296482412,0.5333333333333333,0.008184143222506393,0.016120906801007556,1955,400_200,400,200,glasso
0.9473366834170854,0.43333333333333335,0.012452107279693486,0.024208566108007448,1044,400_200,400,200,glasso
0.8233165829145729,0.6333333333333333,0.005391600454029512,0.010692177827799663,3524,400_200,400,200,glasso
0.9346733668341709,0.6333333333333333,0.01452599388379205,0.028400597907324365,1308,400_200,400,200,glasso
0.8968341708542713,0.6,0.008742107819329771,0.017233125897558637,2059,400_200,400,200,glasso
0.9603517587939698,0.36666666666666664,0.014084507042253521,0.02712700369913687,781,400_200,400,200,glasso
0.9035175879396985,0.5333333333333333,0.008324661810613945,0.01639344262295082,1922,400_200,400,200,glasso
0.8992462311557788,0.6666666666666666,0.009925558312655087,0.019559902200488997,2015,400_200,400,200,glasso
0.9425628140703518,0.7,0.01818181818181818,0.035443037974683546,1155,400_200,400,200,glasso
0.7435678391959799,0.8666666666666667,0.005073170731707317,0.01008729388942774,5125,400_200,400,200,glasso
0.7631658291457286,0.8,0.0050729232720355105,0.010081915563957152,4731,400_200,400,200,glasso
