accuracy,recall,precision,F_measure,num_edge,n_p,n,p,model
0.7751256281407035,1,0.006659267480577136,0.01323042998897464,4505,200_200,200,200,glasso
0.7776381909547738,1,0.006734006734006734,0.013377926421404682,4455,200_200,200,200,glasso
0.778391959798995,1,0.006756756756756757,0.013422818791946308,4440,200_200,200,200,glasso
0.7795477386934674,1,0.006791940230925968,0.013492241960872498,4417,200_200,200,200,glasso
0.714070351758794,1,0.005244755244755245,0.010434782608695653,5720,200_200,200,200,glasso
0.8093969849246231,1,0.007847240387130526,0.015572281339216194,3823,200_200,200,200,glasso
0.7819597989949749,1,0.00686655985351339,0.0136394635144351,4369,200_200,200,200,glasso
0.7075376884422111,1,0.005128205128205128,0.010204081632653062,5850,200_200,200,200,glasso
0.7114572864321608,1,0.005197505197505198,0.010341261633919338,5772,200_200,200,200,glasso
0.7775879396984925,1,0.006732495511669659,0.013374944271065536,4456,200_200,200,200,glasso
0.7071859296482412,1,0.005122076148198737,0.010191948360794973,5857,200_200,200,200,glasso
0.71321608040201,0.9666666666666667,0.005056669572798605,0.010060711188204683,5735,200_200,200,200,glasso
0.778643216080402,0.9666666666666667,0.006541845251522671,0.012995742773918888,4433,200_200,200,200,glasso
0.7786934673366834,1,0.006765899864682003,0.013440860215053764,4434,200_200,200,200,glasso
0.7098492462311558,1,0.005168849069607168,0.010284538909838877,5804,200_200,200,200,glasso
0.7765829145728643,1,0.006702412868632708,0.013315579227696406,4476,200_200,200,200,glasso
0.7104522613065327,0.9666666666666667,0.005008635578583765,0.009965635738831614,5790,200_200,200,200,glasso
0.7563316582914573,1,0.006148800983808158,0.012222448563862294,4879,200_200,200,200,glasso
0.781859296482412,1,0.0068634179821551134,0.013633265167007498,4371,200_200,200,200,glasso
0.7760804020100502,1,0.006687472135532769,0.013286093888396812,4486,200_200,200,200,glasso
0.7804020100502512,1,0.006818181818181818,0.013544018058690745,4400,200_200,200,200,glasso
0.8361306532663316,1,0.009115770282588878,0.018066847335140017,3291,400_200,400,200,glasso
0.7773869346733668,1,0.006726457399103139,0.0133630289532294,4460,400_200,400,200,glasso
0.7783417085427136,1,0.006755235307363206,0.013419816595839856,4441,400_200,400,200,glasso
0.7826130653266332,1,0.006887052341597796,0.013679890560875513,4356,400_200,400,200,glasso
0.8104522613065327,1,0.007890583903208837,0.015657620041753653,3802,400_200,400,200,glasso
0.8360804020100503,1,0.009113001215066828,0.01806140878988561,3292,400_200,400,200,glasso
0.7791959798994975,1,0.006781193490054249,0.013471037269869778,4424,400_200,400,200,glasso
0.8095979899497487,1,0.007855459544383346,0.015588464536243178,3819,400_200,400,200,glasso
0.8110050251256281,1,0.007913479293062516,0.015702695629416383,3791,400_200,400,200,glasso
0.8790954773869347,1,0.012315270935960592,0.024330900243309004,2436,400_200,400,200,glasso
0.8093467336683418,1,0.007845188284518828,0.015568240788790867,3824,400_200,400,200,glasso
0.8141206030150754,1,0.008045052292839904,0.01596169193934557,3729,400_200,400,200,glasso
0.8348743718592965,1,0.009047044632086852,0.017931858936043037,3316,400_200,400,200,glasso
0.8828140703517587,1,0.012701100762066046,0.025083612040133776,2362,400_200,400,200,glasso
0.8817085427135678,1,0.012583892617449664,0.02485501242750621,2384,400_200,400,200,glasso
0.7825125628140703,1,0.006883891693437357,0.013673655423883319,4358,400_200,400,200,glasso
0.7083417085427136,1,0.005142269454919438,0.010231923601637107,5834,400_200,400,200,glasso
