num_edge,mean,std,num,model,n,p,n_p
20,0.24933333333333335,0.015062577005733113,30,DC,200,400,200_400
20,0.17466666666666666,0.012050977289823708,30,SCAD,200,400,200_400
20,0.26,0.015785924182601746,30,adapt,200,400,200_400
30,0.16111111111111112,0.012592780405781455,30,glasso,200,400,200_400
30,0.2177777777777778,0.013441451805874173,30,DC,200,400,200_400
30,0.15888888888888889,0.011151268428711524,30,SCAD,200,400,200_400
30,0.22555555555555556,0.014355754835336758,30,adapt,200,400,200_400
40,0.14857142857142858,0.010468724014921134,30,glasso,200,400,200_400
40,0.19714285714285715,0.011891289585396245,30,DC,200,400,200_400
40,0.14761904761904762,0.009694690304253894,30,SCAD,200,400,200_400
40,0.20190476190476192,0.01255031316206992,30,adapt,200,400,200_400
20,0.2826666666666667,0.01557284206436596,30,glasso,400,400,400_400
20,0.37733333333333335,0.020448608604737187,30,DC,400,400,400_400
20,0.3413333333333333,0.017653975055183523,30,SCAD,400,400,400_400
20,0.388,0.02093449004784254,30,adapt,400,400,400_400
30,0.2611111111111111,0.016538459634556822,30,glasso,400,400,400_400
30,0.3277777777777778,0.017874497435679645,30,DC,400,400,400_400
30,0.31222222222222223,0.01754274715838202,30,SCAD,400,400,400_400
30,0.3333333333333333,0.01772501749535746,30,adapt,400,400,400_400
40,0.24380952380952384,0.014415393896893558,30,glasso,400,400,400_400
40,0.28571428571428575,0.015068846618112076,30,DC,400,400,400_400
40,0.2752380952380952,0.015345475513481172,30,SCAD,400,400,400_400
40,0.2914285714285714,0.01527909099481908,30,adapt,400,400,400_400
20,0.4026666666666667,0.019363037031032454,30,glasso,800,400,800_400
20,0.5133333333333333,0.021620197737106175,30,DC,800,400,800_400
20,0.5,0.019440448412594777,30,SCAD,800,400,800_400
20,0.5266666666666666,0.022290317125332533,30,adapt,800,400,800_400
30,0.36777777777777776,0.016874817691335038,30,glasso,800,400,800_400
30,0.44,0.019923224284748266,30,DC,800,400,800_400
30,0.46,0.018109924037913682,30,SCAD,800,400,800_400
30,0.4577777777777778,0.01924058432435496,30,adapt,800,400,800_400
40,0.32952380952380955,0.015238095238095236,30,glasso,800,400,800_400
40,0.3952380952380952,0.016838197772165504,30,DC,800,400,800_400
40,0.40476190476190477,0.015564042678733387,30,SCAD,800,400,800_400
40,0.41333333333333333,0.015114440811924153,30,adapt,800,400,800_400
