n_p,K,num_estimated_mean,num_estimated_std
200_100,4558,4543.8,3.5128336140500593
200_100,4607,4585.4,3.9572717874818757
200_100,4656,4625.6,6.281719509815764
200_100,4705,4666.8,8.5463442476886
200_100,4754,4704.8,10.485227703774486
200_100,4803,4741.2,11.667904696216883
200_100,4852,4777.4,11.822013364905319
200_100,4901,4812.4,12.536347155371855
200_100,4950,4842,12.743625857659191
200_200,201,201.2,0.19999999999999998
200_200,399,399,0
200_200,598,598,0
200_200,797,797,0
200_200,996,996,0
200_200,1195,1195,0
200_200,1394,1394,0
200_200,1593,1593,0
200_200,1792,1792,0
200_200,1991,1991,0
200_200,2190,2190,0
200_200,2389,2389,0
200_200,2588,2588,0
200_200,2787,2787,0
200_200,2986,2986,0
200_200,3185,3185,0
200_200,3384,3384,0
200_200,3583,3583,0
200_200,3782,3782,0
200_200,3981,3981,0
200_200,4180,4180,0
200_200,4379,4379,0
200_200,4578,4578,0
200_200,4777,4822.8,45.800000000000004
200_200,4976,5027.4,35.88537306480176
200_200,5175,5217.4,27.006665843824557
200_200,5374,5405,20.25586334867018
200_200,5573,5596.2,15.723867208800765
200_200,5772,5791.2,12.885650934275692
200_200,5971,5986.4,10.240117186829455
200_200,6170,6181,7.463243262818116
200_200,6369,6377,5.495452665613635
200_200,6568,6573.8,4.862098312457287
200_200,6767,6771.8,4.55411901469428
200_200,6966,6969,3
200_200,7165,7167.6,2.357965224510319
200_200,7364,7366.2,2.1999999999999997
200_200,7563,7564.6,1.5999999999999999
200_200,7762,7763.2,1.2
200_200,7961,7961.6,0.6
200_200,8160,8160.6,0.6
200_200,8359,8359.4,0.39999999999999997
200_200,8558,8558.2,0.19999999999999998
200_200,8757,8757,0
200_200,8956,8956,0
200_200,9155,9155,0
200_200,9354,9354,0
200_200,9553,9553,0
200_200,9752,9752,0
200_200,9951,9951,0
200_200,10149,10149,0
200_200,10348,10348,0
200_200,10547,10547,0
200_200,10746,10746,0
200_200,10945,10945,0
200_200,11144,11144,0
200_200,11343,11343,0
200_200,11542,11542,0
200_200,11741,11741,0
200_200,11940,11940,0
200_200,12139,12139,0
200_200,12338,12338,0
200_200,12537,12537,0
200_200,12736,12736,0
200_200,12935,12935,0
200_200,13134,13134,0
200_200,13333,13333,0
200_200,13532,13532,0
200_200,13731,13731,0
200_200,13930,13930,0
200_200,14129,14129,0
200_200,14328,14328,0
200_200,14527,14527,0
200_200,14726,14726,0
200_200,14925,14925,0
200_200,15124,15124,0
200_200,15323,15323,0
200_200,15522,15522,0
200_200,15721,15721,0
200_200,15920,15920,0
200_200,16119,16119,0
200_200,16318,16318,0
200_200,16517,16517,0
200_200,16716,16716,0
200_200,16915,16915,0
200_200,17114,17114,0
200_200,17313,17313,0
200_200,17512,17512,0
200_200,17711,17711,0
200_200,17910,17910,0
200_200,18109,18109,0
200_200,18308,18308,0
200_200,18507,18506.6,0.24494897427831777
200_200,18706,18705.4,0.24494897427831777
200_200,18905,18902,0.9486832980505137
200_200,19104,19096.6,1.6911534525287764
200_200,19303,19284.8,3.023243291566195
200_200,19502,19461.4,5.221110992882645
200_200,19701,19621.8,5.616048432839589
200_200,19900,19762,8.384509526501834
200_400,401,401,0
200_400,1203,1203,0
200_400,2005,2005,0
200_400,2807,2807,0
200_400,3609,3609,0
200_400,4411,4411,0
200_400,5213,5213,0
200_400,6015,6015,0
200_400,6817,6817,0
200_400,7619,7619,0
200_400,8421,8421,0
200_400,9223,9223,0
200_400,10025,10025,0
200_400,10827,10827,0
200_400,11629,11629,0
200_400,12431,12431,0
200_400,13233,13233,0
200_400,14035,14035,0
200_400,14837,14837,0
200_400,15639,15639,0
200_400,16441,16441,0
