loglik_mean,num_edge,n_p,n,p,model
-112.43697598743857,2900,100_100,100,100,DC
-112.43443928809145,2950,100_100,100,100,DC
-112.45224744083633,3000,100_100,100,100,DC
-112.46650819410378,3050,100_100,100,100,DC
-112.47351112537979,3100,100_100,100,100,DC
-112.47530060171829,3150,100_100,100,100,DC
-112.4789941151947,3200,100_100,100,100,DC
-112.47916870063678,3250,100_100,100,100,DC
-112.48337975646501,3300,100_100,100,100,DC
-112.49930835303236,3350,100_100,100,100,DC
-112.50578122781377,3400,100_100,100,100,DC
-112.51039006337948,3450,100_100,100,100,DC
-112.51092557660314,3500,100_100,100,100,DC
-112.50801907462032,3550,100_100,100,100,DC
-112.52232216722153,3600,100_100,100,100,DC
-112.5177567757888,3650,100_100,100,100,DC
-112.52520939284467,3700,100_100,100,100,DC
-112.52254264532766,3750,100_100,100,100,DC
-112.52666482272706,3800,100_100,100,100,DC
-112.5314945864358,3850,100_100,100,100,DC
-112.54654565490993,3900,100_100,100,100,DC
-112.56061079991358,3949.8,100_100,100,100,DC
-112.5596196955197,4000,100_100,100,100,DC
-112.56184015605807,4049.4,100_100,100,100,DC
-112.54695040389828,4099.4,100_100,100,100,DC
-112.54335323806441,4149.4,100_100,100,100,DC
-112.54969963653205,4199,100_100,100,100,DC
-112.5497547459856,4249,100_100,100,100,DC
-112.54186150417432,4297.6,100_100,100,100,DC
-112.55051308419334,4346.8,100_100,100,100,DC
-112.55278991324694,4394.6,100_100,100,100,DC
-112.56011743430794,4443,100_100,100,100,DC
-112.55981591565744,4489.6,100_100,100,100,DC
-112.56437566171358,4535.2,100_100,100,100,DC
-112.56633631708146,4580,100_100,100,100,DC
-112.56436856338028,4623,100_100,100,100,DC
-112.56337637844766,4664.4,100_100,100,100,DC
-112.56272312792265,4702.2,100_100,100,100,DC
-112.5620743788625,4737.4,100_100,100,100,DC
-112.56473785558966,4769.4,100_100,100,100,DC
-112.56612525486385,4797.6,100_100,100,100,DC
-112.56467428055544,4824.2,100_100,100,100,DC
-112.6017550991299,2.6,200_100,200,100,DC
-110.0576896024248,50,200_100,200,100,DC
-110.18531463555311,100,200_100,200,100,DC
-110.28832709430893,150.4,200_100,200,100,DC
-110.46010024362953,200.4,200_100,200,100,DC
-110.48754850008653,250.2,200_100,200,100,DC
-110.5893614048747,300.2,200_100,200,100,DC
-110.67755672192679,350.2,200_100,200,100,DC
-110.75739414550776,400.2,200_100,200,100,DC
-110.75481857661379,450.2,200_100,200,100,DC
-110.84897967692359,500.2,200_100,200,100,DC
-110.86358158857874,550,200_100,200,100,DC
-110.83217327693765,600,200_100,200,100,DC
-110.88209444077158,650,200_100,200,100,DC
-110.95927060963848,700,200_100,200,100,DC
-110.93338956343295,750,200_100,200,100,DC
-110.9765896069729,800,200_100,200,100,DC
-110.99752202421648,854.2,200_100,200,100,DC
-111.0761257736332,909,200_100,200,100,DC
-111.1453839107805,957.8,200_100,200,100,DC
-111.111979687558,1007.2,200_100,200,100,DC
-111.17821676069345,1056.4,200_100,200,100,DC
-111.21612991031034,1105.4,200_100,200,100,DC
-111.2777377189271,1156.2,200_100,200,100,DC
-111.34124243770135,1204.8,200_100,200,100,DC
-111.34354024221852,1254,200_100,200,100,DC
-111.35823369777701,1303.6,200_100,200,100,DC
-111.37610076257909,1353.2,200_100,200,100,DC
-111.40356668209846,1402.6,200_100,200,100,DC
-111.44703165837558,1451.8,200_100,200,100,DC
-111.44638164013111,1501,200_100,200,100,DC
-111.45551963803746,1551,200_100,200,100,DC
-111.45595547959564,1601,200_100,200,100,DC
-111.49002768667083,1650.4,200_100,200,100,DC
-111.48679648602332,1700.4,200_100,200,100,DC
-111.52226788029779,1750,200_100,200,100,DC
-111.5511607882135,1800,200_100,200,100,DC
-111.54724798041875,1850,200_100,200,100,DC
-111.56855453070135,1900,200_100,200,100,DC
-111.6054110482923,1950,200_100,200,100,DC
-111.61640646820504,2000,200_100,200,100,DC
-111.64315267584398,2050,200_100,200,100,DC
-111.65669024053886,2100,200_100,200,100,DC
-111.6702283787593,2150,200_100,200,100,DC
-111.66564356645925,2200,200_100,200,100,DC
-111.69063897146441,2250,200_100,200,100,DC
-111.69723776531562,2300,200_100,200,100,DC
-111.71759078890749,2350,200_100,200,100,DC
-111.71176541931553,2400,200_100,200,100,DC
-111.72080743029376,2450,200_100,200,100,DC
-111.71967797590887,2500,200_100,200,100,DC
-111.72532776331107,2550,200_100,200,100,DC
-111.74555866114308,2600,200_100,200,100,DC
-111.74417130236503,2650,200_100,200,100,DC
-111.73763888106745,2700,200_100,200,100,DC
-111.75684327303756,2750,200_100,200,100,DC
-111.75324928970538,2800,200_100,200,100,DC
-111.74543008467982,2850,200_100,200,100,DC
-111.73814186857709,2900,200_100,200,100,DC
-111.7389343027859,2950,200_100,200,100,DC
-111.73290272064317,3000,200_100,200,100,DC
-111.73165963796134,3050,200_100,200,100,DC
-111.74903195302139,3100,200_100,200,100,DC
-111.75156141441545,3150,200_100,200,100,DC
-111.76835562123826,3200,200_100,200,100,DC
-111.75959651471834,3250,200_100,200,100,DC
-111.77490320481544,3300,200_100,200,100,DC
-111.78741852656704,3350,200_100,200,100,DC
-111.80339698386146,3400,200_100,200,100,DC
-111.80086543570354,3450,200_100,200,100,DC
-111.8085133959066,3500,200_100,200,100,DC
-111.80931778472316,3550,200_100,200,100,DC
-111.81030750045186,3600,200_100,200,100,DC
-111.82006901369029,3650,200_100,200,100,DC
-111.82337077994832,3700,200_100,200,100,DC
-111.81822401144008,3750,200_100,200,100,DC
-111.82112950794219,3799.8,200_100,200,100,DC
-111.82395353998157,3849.2,200_100,200,100,DC
-111.83528575900574,3899.4,200_100,200,100,DC
-111.8435592788335,3949.2,200_100,200,100,DC
-111.85709893875686,3998.4,200_100,200,100,DC
-111.85864882886739,4048.4,200_100,200,100,DC
-111.85236479805533,4097.8,200_100,200,100,DC
-111.84852696272549,4147.4,200_100,200,100,DC
-111.85224426004343,4197.2,200_100,200,100,DC
-111.85398623179684,4245,200_100,200,100,DC
-111.85567685469253,4294.4,200_100,200,100,DC
-111.86052332022557,4341.6,200_100,200,100,DC
-111.85584349221689,4387.8,200_100,200,100,DC
-111.85144097676135,4433,200_100,200,100,DC
-111.85433976728736,4477.2,200_100,200,100,DC
-111.85521924187685,4520.2,200_100,200,100,DC
-111.8605577113054,4562,200_100,200,100,DC
